District,Product ID,Serial Number,Management IP,Management Mask,Default Gateway,Switch Replacing,VLANs,
District 1,C9300-48-P-E,SFJC2403S0NM,192.168.1.2,255.255.255.0,192.168.1.1,DST1-SW1,"1,10,20",
District 1,C9300-48-P-E,SFJC2403U0N3,Stack Standby,Stack Standby,Stack Standby,Stack Standby,Stack Standby,
District 1,C9200-24P-E,SJAD23480Q7L,,,,,,
District 1,C9200-24P-E,SJAD23480UCJ,,,,,,
District 1,C9200-24P-E,SJAD23480C34,,,,,,
District 1,3560CX-12PC-S,SFOC2351LDJ9,,,,,,
District 1,10G-SR-S,SACW235212RS,n/a,n/a,n/a,n/a,n/a,
District 1,10G-SR-S,SACW235212RN,n/a,n/a,n/a,n/a,n/a,
District 1,10G-SR-S,SACW235212PN,n/a,n/a,n/a,n/a,n/a,
District 1,10G-SR-S,SACW235212C0,n/a,n/a,n/a,n/a,n/a,
District 1,10G-SR-S,SACW2352127V,n/a,n/a,n/a,n/a,n/a,
District 1,10G-SR-S,SACW235211Z8,n/a,n/a,n/a,n/a,n/a,
District 1,GLC-SX-MMD,SOPM23500PSZ,n/a,n/a,n/a,n/a,n/a,
District 1,GLC-SX-MMD,SOPM23500PX9,n/a,n/a,n/a,n/a,n/a,
District 1,GLC-SX-MMD,SOPM23500PX8,n/a,n/a,n/a,n/a,n/a,
District 1,GLC-SX-MMD,SOPM23500PX6,n/a,n/a,n/a,n/a,n/a,
District 1,GLC-SX-MMD,SOPM23500PX5,n/a,n/a,n/a,n/a,n/a,
District 1,GLC-SX-MMD,SOPM23500PX4,n/a,n/a,n/a,n/a,n/a,
District 2,C9300-48-P-E,SFJC2403U0A6,,,,,,
District 2,C9300-48-P-E,SFJB2403A0HT,,,,,,
District 2,C9300-48-P-E,SFJB2403A08K,Stack Standby,Stack Standby,Stack Standby,Stack Standby,Stack Standby,
District 2,C9200-24P-E,SJAD23480Q6J,,,,,,
District 2,3560CX-12PC-S,SFOC2351LDHC,,,,,,
District 2,10G-SR-S,SACW235211Z4,n/a,n/a,n/a,n/a,n/a,
District 2,10G-SR-S,SACW235211TD,n/a,n/a,n/a,n/a,n/a,
District 2,10G-SR-S,SACW235211N5,n/a,n/a,n/a,n/a,n/a,
District 2,10G-SR-S,SACW2352117S,n/a,n/a,n/a,n/a,n/a,
District 2,GLC-SX-MMD,SOPM23500PX3,n/a,n/a,n/a,n/a,n/a,
District 2,GLC-SX-MMD,SOPM23500PUE,n/a,n/a,n/a,n/a,n/a,
District 2,GLC-SX-MMD,SOPM23500PUA,n/a,n/a,n/a,n/a,n/a,
District 2,GLC-SX-MMD,SOPM23500PU8,n/a,n/a,n/a,n/a,n/a,
District 3,C9200-24P-E,SJAD23480Q7P,,,,,,
District 3,C9200-24P-E,SJAD23480Q2J,,,,,,
District 3,3560CX-12PC-S,SFOC2351LD8J,,,,,,
District 3,10G-SR-S,SACW2352117F,n/a,n/a,n/a,n/a,n/a,
